order_id,customer_name,email,phone,product_name,category,quantity,unit_price,order_date,delivery_city,order_status
ORD1001,Aarav Sharma,aarav.sharma@gmail.com,9876543210.0,Wireless Mouse,Electronics,1,799,2026-01-01,Mumbai,Delivered
ORD1002,Priya Verma,priya.verma@yahoo.com,9988776655.0,Bluetooth Speaker,Electronics,2,2499,2026-01-02,Delhi,Shipped
ORD1003,Rohan Gupta,rohan.gupta@gmail.com,9123456780.0,Office Chair,Furniture,3,5999,2026-01-03,Bengaluru,Processing
ORD1004,Neha Singh,neha.singh@gmail.com,9012345678.0,Cotton T-Shirt,Fashion,4,599,2026-01-04,Kolkata,Cancelled
ORD1005,Vikram Rao,,9988123456.0,Water Bottle,Home & Kitchen,5,349,2026-01-05,,Delivered
ORD1006,Ananya Das,ananya.das@gmail.com,9876501234.0,Notebook Pack,Stationery,two,120,2026-01-06,Chennai,Shipped
ORD1007,Karan Mehta,karan.mehta@gmail.com,9988771122.0,Laptop Stand,Electronics,2,1599,2026-01-07,Pune,Processing
ORD1008,Simran Kaur,simran.kaur@gmail.com,9090909090.0,Coffee Mug,Home & Kitchen,3,299,2026-01-08,Jaipur,Cancelled
ORD1009,Aditya Nair,aditya.nair@gmail.com,9812345678.0,Running Shoes,Fashion,4,3499,2026-01-09,Kochi,Delivered
ORD1010,Sneha Kapoor,sneha.kapoor@gmail.com,9876123450.0,LED Monitor,Electronics,5,12999,2026-01-10,Noida,Shipped
ORD1011,Aarav Sharma,aarav.sharma@gmail.com,9876543210.0,Smart Watch,Electronics,1,6999,2026-01-11,Mumbai,Processing
ORD1012,Priya Verma,priya.verma@yahoo.com,9988776655.0,Air Fryer,Home Appliances,2,6999,2026-01-12,Delhi,Cancelled
ORD1013,Rohan Gupta,rohan.gupta@gmail.com,9123456780.0,Gaming Chair,,3,unknown,2026-01-13,,Delivered
ORD1014,Neha Singh,neha.singh@gmail.com,9012345678.0,Protein Powder,Fitness,4,3499,2026-01-14,Kolkata,Shipped
ORD1015,Vikram Rao,,9988123456.0,Digital Camera,Electronics,5,45999,2026-01-15,Hyderabad,Processing
ORD1016,Ananya Das,ananya.das@gmail.com,9876501234.0,Wireless Mouse,electronics,1,799,2026-01-16,Chennai,Cancelled
ORD1017,Karan Mehta,karan.mehta@gmail.com,9988771122.0,Bluetooth Speaker,ELECTRONICS,2,2499,2026-01-17,Pune,Delivered
ORD1018,Simran Kaur,simran.kaur@gmail.com,9090909090.0,Office Chair,Furniture,3,5999,2026-01-18, mumbai ,Shipped
ORD1019,aarav sharma,aditya.nair@gmail.com,9812345678.0,Cotton T-Shirt,Fashion,4,599,2026-01-19,Kochi,Processing
ORD1020,Sneha Kapoor,sneha.kapoor@gmail.com,9876123450.0,Water Bottle,Home & Kitchen,5,349,2026-01-20,Noida,Cancelled
ORD1021,Aarav Sharma,aarav.sharma@gmail.com,9876543210.0,Notebook Pack,Stationery,1,120,2026-01-21,Mumbai,Delivered
ORD1022,Priya Verma,priya.verma@yahoo.com,9988776655.0,Laptop Stand,Electronics,2,1599,2026-01-22,Delhi,Shipped
ORD1023,Rohan Gupta,rohan.gupta@gmail.com,9123456780.0,Coffee Mug,Home & Kitchen,3,299,2026-01-23,Bengaluru,Processing
ORD1024,Neha Singh,neha.singh@gmail.com,9012345678.0,Running Shoes,Fashion,4,3499,2026-01-24,Kolkata,Cancelled
ORD1025,Vikram Rao,,9988123456.0,LED Monitor,Electronics,5,12999,2026-01-25,Hyderabad,Delivered
ORD1026,Ananya Das,ananya.das@gmail.com,N/A,Smart Watch,Electronics,1,6999,2026-01-26,Chennai,Shipped
ORD1027,Karan Mehta,karan.mehta@gmail.com,9988771122.0,Air Fryer,Home Appliances,2,6999,2026-01-27,Pune,Processing
ORD1028,Simran Kaur,simran.kaur@gmail.com,9090909090.0,Gaming Chair,Furniture,3,10999,2026-01-28,Jaipur,Cancelled
ORD1029,Aditya Nair,aditya.nair@gmail.com,9812345678.0,Protein Powder,Fitness,4,3499,2026-02-01,Kochi,Delivered
ORD1030,Sneha Kapoor,sneha.kapoor@gmail.com,9876123450.0,Digital Camera,Electronics,5,45999,2026-02-02,Noida,Shipped
ORD1031,Aarav Sharma,aarav.sharma@gmail.com,9876543210.0,Wireless Mouse,Electronics,1,799,2026-02-03,Mumbai,Processing
ORD1032,Priya Verma,priya.verma@yahoo.com,9988776655.0,Bluetooth Speaker,Electronics,2,2499,2026-02-04,Delhi,Cancelled
ORD1033,Rohan Gupta,rohan.gupta@gmail.com,9123456780.0,Office Chair,Furniture,3,5999,2026-02-05,Bengaluru,Delivered
ORD1034,Neha Singh,neha.singh@gmail.com,9012345678.0,Cotton T-Shirt,Fashion,4,599,2026-02-06,Kolkata,Shipped
ORD1035,Vikram Rao,,9988123456.0,Water Bottle,Home & Kitchen,5,349,2026-02-07,Hyderabad,Processing
ORD1036,Ananya Das,ananya.das@gmail.com,9876501234.0,Notebook Pack,Stationery,1,120,2026-02-08,Chennai,Cancelled
ORD1037,Karan Mehta,karan.mehta@gmail.com,9988771122.0,Laptop Stand,,2,1599,2026-02-09,Pune,
ORD1038,Simran Kaur,simran.kaur@gmail.com,9090909090.0,Coffee Mug,Home & Kitchen,3,299,2026-02-10,Jaipur,Shipped
ORD1039,Aditya Nair,aditya.nair@gmail.com,9812345678.0,Running Shoes,Fashion,4,3499,2026-02-11,Kochi,Processing
ORD1040,Sneha Kapoor,sneha.kapoor@gmail.com,9876123450.0,LED Monitor,Electronics,5,12999,2026-02-12,Noida,Cancelled
ORD1041,Aarav Sharma,aarav.sharma@gmail.com,9876543210.0,Smart Watch,Electronics,five,6999,2026-02-13,Mumbai,Delivered
ORD1042,Priya Verma,priya.verma@yahoo.com,9988776655.0,Air Fryer,Home Appliances,2,6999,2026-02-14,Delhi,Shipped
ORD1043,Rohan Gupta,rohan.gupta@gmail.com,9123456780.0,Gaming Chair,Furniture,3,10999,2026-02-15,Bengaluru,Processing
ORD1044,Neha Singh,neha.singh@gmail.com,9012345678.0,Protein Powder,Fitness,4,3499,2026-02-16,Kolkata,Cancelled
ORD1045,Vikram Rao,,9988123456.0,Digital Camera,Electronics,5,45999,2026-02-17,Hyderabad,Delivered
ORD1046,Ananya Das,ananya.das@gmail.com,9876501234.0,Wireless Mouse,Electronics,1,799,2026-02-18,Chennai,Shipped
ORD1047,Karan Mehta,karan.mehta@gmail.com,9988771122.0,Bluetooth Speaker,Electronics,2,2499,2026-02-19,Pune,Processing
ORD1048,Simran Kaur,simran.kaur@gmail.com,,Office Chair,Furniture,3,5999,2026-02-20,Jaipur,Cancelled
ORD1049,Aditya Nair,aditya.nair@gmail.com,9812345678.0,Cotton T-Shirt,Fashion,4,599,2026-02-21,Kochi,Delivered
ORD1050,Sneha Kapoor,sneha.kapoor@gmail.com,9876123450.0,Water Bottle,Home & Kitchen,5,349,2026-02-22,Noida,Shipped
ORD1051,Aarav Sharma,aarav.sharma@gmail.com,9876543210.0,Notebook Pack,Stationery,1,120,2026-02-23,Mumbai,Processing
ORD1052,Priya Verma,priya.verma@yahoo.com,9988776655.0,Laptop Stand,Electronics,2,1599,2026-02-24,Delhi,Cancelled
ORD1053,Rohan Gupta,rohan.gupta@gmail.com,9123456780.0,Coffee Mug,Home & Kitchen,3,299,2026-02-25,Bengaluru,Delivered
ORD1054,Neha Singh,neha.singh@gmail.com,9012345678.0,Running Shoes,Fashion,4,3499,2026-02-26,Kolkata,Shipped
ORD1055,Vikram Rao,,9988123456.0,LED Monitor,,5,12999,2026-02-27,Hyderabad,Processing
ORD1056,Ananya Das,ananya.das@gmail.com,9876501234.0,Smart Watch,Electronics,1,6999,2026-02-28,Chennai,Cancelled
ORD1057,Karan Mehta,karan.mehta@gmail.com,9988771122.0,Air Fryer,Home Appliances,2,6999,2026-03-01,Pune,Delivered
ORD1058,Simran Kaur,simran.kaur@gmail.com,9090909090.0,Gaming Chair,Furniture,3,10999,2026-03-02,Jaipur,Shipped
ORD1059,Aditya Nair,,9812345678.0,Protein Powder,Fitness,4,3499,2026-03-03,Kochi,Processing
ORD1060,Sneha Kapoor,sneha.kapoor@gmail.com,9876123450.0,Digital Camera,Electronics,5,45999,2026-03-04,Noida,
ORD1061,Aarav Sharma,aarav.sharma@gmail.com,9876543210.0,Wireless Mouse,Electronics,1,799,2026-03-05,Mumbai,Delivered
ORD1062,Priya Verma,priya.verma@yahoo.com,9988776655.0,Bluetooth Speaker,Electronics,2,2499,2026-03-06,Delhi,Shipped
ORD1063,Rohan Gupta,rohan.gupta@gmail.com,9123456780.0,Office Chair,Furniture,3,5999,2026-03-07,Bengaluru,Processing
ORD1064,Neha Singh,neha.singh@gmail.com,9012345678.0,Cotton T-Shirt,Fashion,4,599,2026-03-08,Kolkata,Cancelled
ORD1065,Vikram Rao,,9988123456.0,Water Bottle,Home & Kitchen,5,349,2026-03-09,Hyderabad,Delivered
ORD1066,Ananya Das,ananya.das@gmail.com,9876501234.0,Notebook Pack,Stationery,1,120,2026-03-10,Chennai,Shipped
